Surname,Name,Patronymic,Gender,BirthDate,Position,City,Address,Phone,Email
Вернидуб,Мирон,Юрійович,Male,1971-10-22,Мовознавець,селище Луганськ,"провулок Гвоздична, буд. 47, Іллінці, 09838",+380 70 312 52 60,huziimarko@example.org
Яценюк,Ростислав,Васильович,Male,1991-11-28,Гінеколог,селище Старий Крим,"проспект Ванний, буд. 2, Лебедин, 82907",023 792 24 35,hennadii50@example.net
Юрчук,Спас,Андрійович,Male,2001-06-06,Електрик,місто Козятин,"узвіз Середньофонтанський, буд. 80 кв. 5, Липовець, 07643",+380 07 151 24 15,ustym74@example.net
Вівчаренко,Роман,Євгенович,Male,1974-06-26,Мікробіолог,селище Славута,"вулиця Побратимів, буд. 46, Іршава, 56363",+380 (27) 088-39-95,hennadii47@example.org
Заїка,Охрім,Васильович,Male,1993-11-15,Біолог,місто Кілія,"вулиця Пересипська 7-ма, буд. 68 кв. 5, Дружківка, 40312",910-52-10,marta28@example.net
Гаврилишин,Панас,Ігорович,Male,1997-01-19,Соціолог,місто Львів,"набережна Водопровідна, буд. 7 кв. 81, Білозерське, 14469",046 961-98-12,arsen27@example.net
Рябченко,Василь,Богданович,Male,1953-07-11,Льотчик,селище Тетіїв,"узвіз Херсонський сквер, буд. 866 кв. 1, Ровеньки, 58626",039 201-07-33,mzabila@example.com
Дрозденко,Ілля,Максимович,Male,1954-06-17,Кінорежисер,селище Берестечко,"площа Марка Твена, буд. 589 кв. 743, Жовква, 02445",+380 34 294-55-71,irynastets@example.org
Ващук,Святослав,Ігорович,Male,1989-08-02,Музичний редактор,місто Ладижин,"вулиця Український 1-й, буд. 200, Дебальцеве, 35263",+380 65 088-47-04,shvaikapriska@example.org
Данильчук,Зорян,Юрійович,Male,1985-01-02,Філолог,хутір Карлівка,"узвіз Мелодійний, буд. 39, Болград, 73022",056 256 41 92,demian28@example.org
Опанасенко,Адам,Арсенович,Male,1945-11-14,Секретар,село Чортків,"шосе Новоберегова, буд. 6, Зборів, 41700",079 960-37-62,saienkozorian@example.com
Гаврилів,Тимофій,Богданович,Male,2001-02-24,Графік,селище Березань,"шосе Давида Ойстраха, буд. 086, Ніжин, 65959",011 568-99-40,andriidubyna@example.com
Тимченко,Адам,Ярославович,Male,1946-12-07,Підприємець,селище Вільнянськ,"вулиця Пересипський 1-й, буд. 39, Вишгород, 32546",112 86 24,wtsushko@example.com
Артимович,Климент,Дмитрович,Male,1999-01-15,Редактор,хутір Гола Пристань,"парк Отамана Головатого, буд. 7, Южноукраїнськ, 84330",879 94 50,volodymyra06@example.com
Приходько,Дан,Арсенович,Male,1979-12-27,Штукатур,селище Приморськ,"площа Флотський 1-й, буд. 19, Богуслав, 35526",354-36-73,rkabanenko@example.org
Базилевич,Вʼячеслав,Володимирович,Male,1985-03-14,Дерун,село Липовець,"вулиця Західний 3-й, буд. 349 кв. 6, Костопіль, 30114",+380 55 849 08 48,xdatsenko@example.net
Товстоліс,Артем,Євгенович,Male,1967-06-16,Вчитель,хутір Батурин,"сквер Хутірська, буд. 291, Ірміно, 58772",093 072-93-58,wiermolenko@example.org
Бабариченко,Амвросій,Максимович,Male,1955-02-10,Кухар,місто Устилуг,"шосе Івана Луценка, буд. 1, Жовті Води, 96764",+380 65 159-93-48,tymofiiskorobohatko@example.net
Жученко,Богуслав,Васильович,Male,1993-09-18,Фермер,село Біла Церква,"парк Китобійний 2-й, буд. 1 кв. 21, Стрий, 94172",077 705 79 50,marta22@example.com
Чала,Болеслав,Олегович,Male,1986-02-01,Штукатур,селище Дубровиця,"площа Куяльницький міст, буд. 486, Косів, 87599",961-22-28,xshevchenko@example.net
Жайворон,Охрім,Іванович,Male,1945-01-02,Електротехнік,селище Радивилів,"проспект Приморський, буд. 3, Білопілля, 91341",+380 (04) 802-52-21,kostiantyn36@example.com
Жук,Владислав,Васильович,Male,1948-02-04,Фотограф,селище Старий Самбір,"набережна Бернардацці, буд. 7 кв. 8, Свалява, 12730",+380 44 689-37-85,lizazhaivoron@example.com
Носенко,Ярема,Іванович,Male,1957-10-05,Різноробочий,село Узин,"набережна Військовий узвіз, буд. 349, Виноградів, 92762",756 15 15,gmykhailiuk@example.com
Павличенко,Гаврило,Сергійович,Male,1978-10-31,Сценарист,селище Мукачево,"набережна Цесевича, буд. 00, Рені, 03368",+380 83 338-61-49,oaverchenko@example.com
Бебешко,Артем,Петрович,Male,1967-03-22,Детектив,місто Тетіїв,"шосе Петра Болбочана, буд. 775 кв. 89, Кіцмань, 60940",066 307-67-34,cdemydenko@example.org
Гук,Омелян,Володимирович,Male,2002-05-22,Акушер,місто Федорівка,"вулиця Садовий, буд. 2 кв. 1, Калинівка, 04067",+380 30 075 29 88,xarkhypenko@example.net
Філіпенко,Ростислав,Євгенович,Male,1958-10-06,Електромонтер,місто Богуслав,"парк Сабанський, буд. 937, Стебник, 75255",195-92-25,petro21@example.net
Ісаєнко,Адам,Володимирович,Male,2008-09-07,Дипломат,місто Старий Крим,"проспект Басейний 6-й, буд. 85, Бердичів, 39706",+380 06 007 03 37,gfilipenko@example.net
Чміль,Єфрем,Іванович,Male,1997-09-21,Стоматолог,село Жданівка,"проспект Зої Пасічної, буд. 1 кв. 9, Новодністровськ, 21818",014 661 71 65,klavdiiashevchenko@example.net
Масляк,Левко,Петрович,Male,1986-02-27,Громадський діяч,місто Узин,"площа Сегедська, буд. 51 кв. 937, Сокаль, 30808",163-58-97,danylo41@example.com
Яремчук,Макар,Олегович,Male,1951-05-26,Кінокритик,хутір Жашків,"шосе Павла Клепацького, буд. 41, Буча, 83902",723 62 65,verhuniryna@example.org
Бабиченко,Костянтин,Романович,Male,1998-06-17,Драматург,хутір Чортків,"вулиця Соляна, буд. 37, Городенка, 69910",042 318 36 62,panteleimonivashchenko@example.org
Іщак,Володимир,Олександрович,Male,1980-05-17,Петрограф,село П'ятихатки,"шосе Пересипська 6-та, буд. 1, Сватове, 56284",+380 98 335 41 41,ostapchukserhii@example.org
Фесенко,Богдан,Юрійович,Male,1978-12-02,Акушер,селище Підгородне,"провулок Золотий берег, буд. 063 кв. 454, Бобринець, 82633",+380 93 285 71 18,eduard88@example.net
Бараник,Дан,Степанович,Male,1953-10-18,Мовознавець,село Заставна,"провулок Віктора Скаржинського узвіз, буд. 453 кв. 5, Херсон, 28134",060 558 59 46,alinabezditko@example.org
Дробʼязко,Василь,Дмитрович,Male,1996-01-20,Секретар,селище Коломия,"вулиця Лазурний 1-й, буд. 85 кв. 56, Теплодар, 54089",+380 43 611 23 62,prokhirperepelytsia@example.org
Абраменко,Гліб,Володимирович,Male,1996-03-21,Круп'є,місто Бобринець,"шосе Дениса Максишка, буд. 1, Богуслав, 49258",+380 54 062-36-91,viktorakymenko@example.net
Малик,Вадим,Романович,Male,1955-07-27,Гірник,хутір Новодністровськ,"проспект Сирітський 2-й, буд. 654, Вознесенськ, 71023",+380 89 032-23-86,nadiia39@example.com
Байрак,Феофан,Ігорович,Male,1969-10-31,Фотограф,місто Пустомити,"узвіз Юрія Кондратюка, буд. 1 кв. 5, Дунаївці, 16174",+380 (51) 514-82-21,zinchenkovladyslav@example.org
Сиротенко,Єфрем,Степанович,Male,1948-02-01,Історик,селище Тернівка,"проспект Теплична, буд. 040, Жовква, 08991",072 613-65-09,perepelytsiavalentyna@example.net
Олійник,Спас,Богданович,Male,1948-06-01,Будник,місто Ясинувата,"узвіз Обільний 2-й, буд. 570 кв. 076, Брянка, 47638",+380 94 020-41-44,bohuslavdeisun@example.com
Гайдамака,Веніямин,Ярославович,Male,1943-04-30,Менеджер,селище Вишгород,"шосе Василя Кандинського 3-й, буд. 18 кв. 4, Бахмут, 77348",+380 05 544 29 72,parmenvitruk@example.org
Устенко,Андрій,Дмитрович,Male,1963-02-27,Музичний редактор,село Новомиргород,"провулок Станційна 3-тя, буд. 45 кв. 170, Стебник, 98367",+380 (07) 214-45-66,ieva68@example.net
Вишняк,Климент,Іванович,Male,1993-05-07,Музикант,село Попасна,"парк Текстильників, буд. 433 кв. 5, Біляївка, 74424",022 025-27-37,arsennesterenko@example.org
Колодуб,Прохір,Олегович,Male,1970-12-28,Лікар,хутір Андрушівка,"узвіз Артура Савельєва, буд. 5 кв. 09, Часів Яр, 76135",+380 (79) 749-30-68,neporozhniianita@example.net
Бебешко,Азар,Володимирович,Male,1956-12-22,Доцент,село Кременчук,"шосе Тупиковий 1-й, буд. 4, Перечин, 87920",048 345 15 88,artymovychalevtyn@example.net
Данилюк,Климент,Євгенович,Male,1938-03-11,Головний меркшейдер,селище Сокаль,"площа Почаївська, буд. 2, Кам'янка-Бузька, 35595",066 540 16 09,varfolomii43@example.net
Каденюк,Болеслав,Андрійович,Male,1966-11-19,Нотаріус,селище Рівне,"набережна Четверта, буд. 01 кв. 121, Хоростків, 25057",+380 56 384-86-26,sbatih@example.org
Авраменко,Павло,Іванович,Male,2002-04-15,Професор,місто Авдіївка,"набережна Юрія Єгорова, буд. 45, Березне, 87222",345 61 00,ypanchuk@example.net
Зінкевич,Єфрем,Петрович,Male,2008-06-04,Мистецтвознавець,хутір Буча,"набережна Глухий міст, буд. 481 кв. 79, Гірське, 65264",065 851-45-99,rizhakevych@example.net
Пустовіт,Юстим,Євгенович,Male,2003-08-12,Графік,селище Вашківці,"провулок Лінія 25-та, буд. 433, Корсунь-Шевченківський, 66794",395-84-18,romankorpaniuk@example.org
Алексійчук,Венедикт,Олегович,Male,1976-10-18,Геолог,місто Носівка,"проспект Вершинна, буд. 83, Глобине, 17860",020 546-53-33,prykhodkoanastasiia@example.net
Матвієнко,Орхип,Іванович,Male,1958-01-08,Біолог,село Жашків,"шосе Сливова, буд. 2 кв. 50, Ровеньки, 02257",079 799-58-64,fshtokalo@example.com
Батуринець,Юхим,Максимович,Male,2001-04-09,Кіноактор,хутір Ялта,"шосе Всеволода Змієнка, буд. 47, Рені, 91601",+380 51 633-00-10,iaremkodanylo@example.com
Акуленко,Давид,Ярославович,Male,1974-07-28,Складальник,село Шахтарське,"узвіз 3-тя Лінія Марії Демченко, буд. 9, Красилів, 98581",809 67 04,vira58@example.org
Негода,Леонтій,Олегович,Male,1943-12-25,Ювелір,місто Брянка,"вулиця Бахчисарайська, буд. 003, Кропивницький, 63537",730-57-42,maksym90@example.com
Верховинець,Давид,Володимирович,Male,1982-03-03,Бухгалтер,місто Ямпіль,"площа Восьмого березня 8-й, буд. 5, Городище, 18699",170-64-90,leonid36@example.org
Базилевич,Варфоломій,Степанович,Male,1945-11-25,Фізик,село Баштанка,"проспект Скрипковий, буд. 258 кв. 473, Сміла, 15512",+380 47 219-49-89,irenavakulenko@example.net
Дашкевич,Прохір,Олександрович,Male,1985-07-01,Няня,місто Алчевськ,"провулок Золотий берег, буд. 566, Броди, 33252",+380 53 405 76 56,lizareva@example.net
Жадан,Олекса,Григорович,Male,2001-09-12,Адвокат,селище Мала Виска,"набережна Савицький, буд. 44 кв. 21, Баранівка, 67843",072 480-19-47,mbashtan@example.org
Шеремета,Леопольд,Арсенович,Male,1991-09-05,Єгер,село Хрестівка,"вулиця Локомотивний 1-й, буд. 5 кв. 4, Петрово-Красносілля, 62330",+380 03 131 21 93,pylyp67@example.org
Даценко,Амвросій,Олегович,Male,2007-03-29,Пілот,селище Кальміуське,"проспект Василя Симоненка, буд. 8 кв. 62, Узин, 07794",158-38-21,bchernenko@example.org
Авдєєнко,Борислав,Володимирович,Male,1968-03-24,Фольклорист,селище Новоазовськ,"набережна Шампанський, буд. 8, Федорівка, 82008",862-79-79,shavryliuk@example.com
Вертипорох,Гордій,Ігорович,Male,1989-09-03,Агроном,місто Дніпро,"набережна Чорноморський 8-й, буд. 91 кв. 9, Каховка, 40968",+380 (63) 750-78-34,xsahal@example.com
Дубина,Юстим,Андрійович,Male,1973-02-08,Провізор,місто Фастів,"набережна Новиков міст, буд. 57, Нововолинськ, 15558",086 442 00 49,vernyhoraaaron@example.com
Фастенко,Аркадій,Сергійович,Male,1980-07-11,Реставратор,село Гайворон,"проспект Історія Футболу, буд. 740 кв. 87, Острог, 94234",+380 (82) 744-01-80,klavdiiazhalilo@example.net
Бездітко,Опанас,Богданович,Male,2003-09-21,Різноробочий,хутір Дубровиця,"площа Сонячна, буд. 4, Косів, 86263",063 47 69,xaronets@example.org
Приходько,Олександр,Богданович,Male,1987-09-21,Музикознавець,місто Мелітополь,"шосе Моторний 3-й, буд. 77 кв. 90, Долина, 05819",+380 49 581-87-30,markozatovkaniuk@example.org
Наливайко,Юстим,Максимович,Male,1969-09-21,Єгер,місто Монастириська,"площа Житомирська, буд. 2, Самар, 80277",+380 66 453-21-31,zarubasolomon@example.org
Чорновіл,Ярема,Степанович,Male,1999-08-29,Золотар,селище Одеса,"набережна Західний 3-й, буд. 568, Рівне, 69227",021 788 06 57,adamtsiutsiura@example.org
Іщенко,Адам,Миколайович,Male,1986-03-16,Бібліограф,місто Комарно,"проспект Шота Руставелі, буд. 1 кв. 235, Гребінка, 56374",136 59 89,vasyl75@example.org
Юрчишина,Лесь,Богданович,Male,1979-11-10,Зоолог,село Семенівка,"парк Восьмого березня 2-й, буд. 17 кв. 37, Сіверськодонецьк, 30205",+380 70 162-01-91,shcherbanprokhir@example.com
Гавришкевич,Гліб,Юрійович,Male,1993-11-05,Кушнір,селище Скадовськ,"сквер Леся Курбаса, буд. 412, Чернігів, 02573",+380 (74) 897-00-92,pavlo50@example.org
Примаченко,Альберт,Ігорович,Male,1961-12-11,Електромонтер,селище Шостка,"проспект Проектна 1-ша, буд. 2, Кременчук, 72891",057-35-91,sirkohordii@example.net
Верховинець,Максим,Сергійович,Male,1997-03-07,Електротехнік,місто Токмак,"площа Пілотна, буд. 015 кв. 687, Балта, 42816",074 312-00-18,edyta05@example.net
Вишняк,Юстим,Сергійович,Male,1966-04-15,Педагог,місто Березань,"вулиця Кордонна, буд. 382, Зеленодольськ, 96547",+380 11 258 97 14,maryna40@example.org
Хорішко,Августин,Степанович,Male,1995-02-14,Гірник,хутір Гайсин,"проспект Будівельна, буд. 9, Зугрес, 59433",+380 20 607-91-73,stepanpiatachenko@example.com
Верменич,Макар,Богданович,Male,1976-09-29,Письменник,місто Луганськ,"проспект Манежна, буд. 483, Чорноморськ, 60036",+380 23 454-31-75,xartymyshyna@example.net
Ющенко,Алевтин,Дмитрович,Male,1992-06-18,Публіцист,село Любомль,"парк Лиманчик 2-й Лінія 1-ша, буд. 24, Олександрівськ, 11993",044 17 05,avramenkozynovii@example.com
Москаль,Володимир,Богданович,Male,1946-05-27,Державний службовець,селище Ніжин,"набережна Лінія 36-та, буд. 918, Стебник, 55819",+380 66 279-41-73,anzhelasheremeta@example.net
Ґоляш,Дан,Володимирович,Male,1949-04-28,Фрілансер,хутір Лохвиця,"сквер Привокзальна, буд. 1, Ужгород, 39085",025 494-10-63,valentyn31@example.net
Стус,Охрім,Сергійович,Male,1989-05-03,Льотчик,місто Кам'янка (Черкаська область),"узвіз Локомотивний 3-й, буд. 26 кв. 50, Харцизьк, 58834",039 628-56-13,priskaiakovenko@example.org
Смик,Прохір,Максимович,Male,1987-02-21,Мистецтвознавець,хутір Ізюм,"вулиця Монгольська, буд. 188 кв. 36, Нова Каховка, 49071",+380 94 284-84-22,ivan74@example.org
Сиротенко,Григорій,Степанович,Male,2007-09-18,Футболіст,місто Верхньодніпровськ,"шосе 8-ма Лінія Дачі Ковалевського, буд. 811, Овруч, 53963",038 463 83 93,nestorbazavluchenko@example.net
Сіробаба,Теодор,Олегович,Male,1990-03-23,Електромонтажник,хутір Малин,"провулок Бондарна, буд. 08, Олевськ, 99012",+380 41 174-34-64,levchenkooleksandr@example.org
Дзюба,Арсен,Сергійович,Male,1959-05-16,Круп'є,селище Трускавець,"узвіз Бреуса Якова, буд. 2 кв. 44, Христинівка, 09450",+380 41 633-01-57,alevtynlahoda@example.com
Данильчук,Пармен,Олександрович,Male,1956-04-10,Круп'є,хутір Кам'янське,"сквер Павлова, буд. 0 кв. 540, Харків, 60497",093 602-68-45,tchmil@example.com
Коваленко,Валентин,Миколайович,Male,1943-09-02,Скульптор,хутір Тисмениця,"сквер Москеті, буд. 216, Мала Виска, 60690",+380 24 097-81-13,omelian11@example.org
Дейнека,Геннадій,Олександрович,Male,1943-04-23,Інженер,хутір Кам'янка-Бузька,"парк Віктора Скаржинського узвіз, буд. 451 кв. 905, Бучач, 72587",010 435-64-47,vertyporokhlevko@example.net
Гаврилець,Петро,Олегович,Male,1946-04-07,Композитор,село Черкаси,"набережна Незамаївська, буд. 99, Очаків, 43027",091 924-48-55,petrenkohalyna@example.net
Христенко,Леонід,Євгенович,Male,1978-08-06,Конструктор,хутір Судак,"узвіз Чигиринська, буд. 0 кв. 98, Докучаєвськ, 53071",+380 56 063 20 93,cchmil@example.net
Свистун,Єлисей,Андрійович,Male,1985-12-31,Стоматолог,місто Моспине,"шосе Віталія Гуляєва, буд. 04 кв. 786, Бучач, 19962",011 965-88-09,orestzabara@example.com
Бабко,Леон,Іванович,Male,1966-05-11,Пекар,село Джанкой,"проспект Мала Садова, буд. 6 кв. 43, Самар, 58147",+380 26 970 76 11,vladyslav64@example.com
Деревʼянко,Дмитро,Максимович,Male,1949-02-08,Диригент,село Верхньодніпровськ,"вулиця Хутірська, буд. 383, Березівка, 64472",047 008 77 90,adabebeshko@example.com
Царенко,Венедикт,Сергійович,Male,1985-05-25,Мікробіолог,село Рожище,"сквер Стовпова, буд. 723 кв. 1, Джанкой, 43638",027 890-99-84,dmytro01@example.com
Перебийніс,Євген,Олександрович,Male,1976-10-14,Пекар,село Чортків,"набережна Новосельского, буд. 24, Сокаль, 29432",+380 42 456-03-53,zakharchenkosolomon@example.net
Сацюк,Федір,Юрійович,Male,1997-11-26,Електрик,селище Красилів,"узвіз Кременецький, буд. 183 кв. 3, Рівне, 88155",068 547 62 57,otsymbaliuk@example.net
Дзиндра,Адам,Андрійович,Male,1955-10-26,Мовознавець,село Ізяслав,"набережна 11-та ст. Великого Фонтану пляж, буд. 19, Татарбунари, 36606",000 068 59 48,maksym69@example.org
Зінченко,Борислав,Богданович,Male,1947-01-03,Ветеринар,село Авдіївка,"вулиця Мечникова, буд. 0 кв. 283, Радомишль, 98717",034 592 12 47,zakharchenkovalentyna@example.org
Романець,Аарон,Олександрович,Male,1941-09-23,Дизайнер,місто Снятин,"площа Заньковецької, буд. 2 кв. 52, Зеленодольськ, 08736",+380 41 615 26 51,iustynapiddubnyi@example.org
Козаченко,Аарон,Богданович,Male,1966-05-11,Намотувальник,хутір Помічна,"узвіз Бориса Літвака, буд. 75 кв. 181, Середина-Буда, 64206",098 446 17 16,roksolana44@example.com
Шморгун,Пантелеймон,Сергійович,Male,1952-10-05,Ріелтор,село Приморськ,"узвіз Київське, буд. 974 кв. 124, Довжанськ, 29452",385 10 84,ebazavluchenko@example.com
Атрощенко,Герман,Володимирович,Male,1968-07-05,Євнух,місто Отаманівка,"провулок Бісквітний, буд. 6, Підгайці, 32506",+380 (83) 307-26-25,eumanets@example.com
Мазур,Ярема,Дмитрович,Male,1982-02-18,Мікробіолог,селище Берегове,"шосе Скляна, буд. 53, Вугледар, 72883",194-33-85,feofan47@example.net
Ющенко,Юстим,Степанович,Male,1951-12-23,Пілот,село Камінь-Каширський,"сквер Тупиковий 1-й, буд. 746 кв. 3, Попасна, 28340",+380 19 714 63 95,ielysaveta55@example.com
Онищенко,Арсен,Ярославович,Male,2008-03-08,Електромонтер,хутір Павлоград,"проспект 411-ї батареї, буд. 210, Єнакієве, 89116",+380 17 035-63-35,marianaiesypenko@example.com
Батюк,Григорій,Васильович,Male,1944-03-21,Астрофізик,село Сміла,"парк Романтичний, буд. 12, Івано-Франківськ, 63757",421 65 45,haivoronskyidanylo@example.com
Вернигора,Кирило,Петрович,Male,1943-11-07,Електротехнік,місто Валки,"площа Ліверпульський, буд. 1, Нетішин, 48179",158-68-67,petro37@example.org
Вертипорох,Георгій,Андрійович,Male,1964-04-05,Юрист,селище Балаклія,"вулиця Багрицького, буд. 922, Єнакієве, 45703",+380 (64) 331-64-80,ada20@example.com
Туркало,Герман,Дмитрович,Male,1975-03-14,Етнограф,місто Вуглегірськ,"вулиця Болградська, буд. 98, Торецьк, 33856",+380 (03) 318-62-57,amaliiaieresko@example.com
Гавриленко,Руслан,Степанович,Male,1997-11-10,Режисер,село Глухів,"вулиця Ігоря Балмагії, буд. 277 кв. 9, Ямпіль, 28582",+380 11 095-34-14,dhaievska@example.org
Швайка,Аарон,Петрович,Male,1975-01-17,Ґрунтознавець,село Зеленодольськ,"шосе Велика Садова, буд. 09, Винники, 96258",048 305-80-49,davyd97@example.com
Батіг,Василь,Сергійович,Male,1939-03-20,Стиліст,місто Бібрка,"узвіз Запорізька, буд. 971, Боково-Хрустальне, 72764",005 104 58 90,khmarafrants@example.org
Слюсар,Захар,Богданович,Male,1979-06-17,Біолог,місто Радехів,"проспект Тролейбусна, буд. 06 кв. 8, Середина-Буда, 19105",014 849-91-59,ksymonenko@example.org
Вівчаренко,Феофан,Богданович,Male,1992-10-26,Економіст,хутір Чернігів,"парк Шостої 2-й, буд. 5 кв. 770, Підгайці, 54618",089 954 25 48,onysymriabchenko@example.org
Бабариченко,Захар,Григорович,Male,1960-11-07,Мікробіолог,село Соледар,"набережна Садова 6-та, буд. 156, Ржищів, 23448",+380 48 681 03 16,leopoldivanychuk@example.org
Вертипорох,Володимир,Олегович,Male,1970-09-01,Клавішник,місто Кам'янське,"вулиця Кладовищенська, буд. 3, Вараш, 27200",+380 26 261-54-46,vysochanpanas@example.com
Чайка,Варфоломій,Григорович,Male,1951-11-28,Перекладач,селище Феодосія,"проспект Леоніда Осики, буд. 47, Вашківці, 68050",+380 63 440-76-61,ieremenkopanas@example.com
Лавренко,Тарас,Васильович,Male,1955-03-25,Складальник,місто Угнів,"проспект Чернігівський, буд. 27, Кальміуське, 45001",+380 (26) 657-82-15,ada87@example.com
Авраменко,Борислав,Васильович,Male,1956-05-22,Модельєр,село Фастів,"площа Журавлина, буд. 27 кв. 49, Нетішин, 26636",096 104-10-08,stetsvadym@example.org
Кириленко,Станіслав,Васильович,Male,1997-05-29,Електромонтажник,селище Новоазовськ,"проспект Амбулаторний, буд. 15 кв. 1, Вінниця, 38566",044 215-70-44,kokhrymovych@example.org
Артимович,Назар,Андрійович,Male,1938-03-26,Музикознавець,село Олешки,"вулиця Восьмого березня 3-й, буд. 8, Біла Церква, 56881",565 65 25,violetta19@example.org
Кабаненко,Василь,Арсенович,Male,1962-06-05,Патологоанатом,місто Снігурівка,"набережна Ювілейний 1-й, буд. 52 кв. 9, Алушта, 90020",056-78-27,zakharchenkoliudmyla@example.org
Гречко,Леопольд,Юрійович,Male,1962-10-15,Режисер,село Благовіщенське,"проспект Ігоря Іванова, буд. 255, Кролевець, 64648",089 024 54 75,uivanenko@example.net
Ільєнко,Леон,Володимирович,Male,2001-06-06,Головний меркшейдер,хутір Ланівці,"провулок Польський узвіз, буд. 112 кв. 5, Звенигородка, 44487",+380 (86) 052-27-00,viktortalan@example.net
Стус,Аарон,Романович,Male,1978-07-12,Диригент,селище Таврійськ,"шосе Долинська, буд. 267 кв. 9, Чугуїв, 70090",+380 (93) 208-15-92,levko76@example.net
Доценко,Нестор,Романович,Male,1976-02-28,Водій,місто Здолбунів,"проспект Венгера, буд. 281 кв. 3, Стрий, 84717",739-15-11,les49@example.net
Юрченко,Яків,Володимирович,Male,1951-08-08,Музичний редактор,село Славута,"узвіз Каховський, буд. 97 кв. 0, Перечин, 30042",076 848-31-92,danylotarasenko@example.org
Баклан,Левко,Олегович,Male,1993-05-24,Гірник,селище Новоазовськ,"сквер Грецька, буд. 247 кв. 95, Жидачів, 43702",057 23 80,bohuslav73@example.net
Дергач,Вʼячеслав,Петрович,Male,1950-02-23,Ювелір,хутір Костопіль,"площа Станційна 1-ша, буд. 310, Марганець, 09181",+380 28 093-24-97,riaboshapkamartyn@example.com
Іваничук,Варфоломій,Ярославович,Male,2001-09-15,Круп'є,хутір Запоріжжя,"провулок Шовкуненка, буд. 7 кв. 58, Ровеньки, 42243",+380 (60) 392-77-56,chuprynaievhen@example.org
Закусило,Пармен,Степанович,Male,1962-01-16,Електротехнік,селище Лохвиця,"вулиця Кам’янецький, буд. 56, Пустомити, 77532",302 24 36,nshtepa@example.com
Ільєнко,Тимофій,Романович,Male,1961-06-28,Пекар,село Добропілля,"парк Розумовський 2-й, буд. 700 кв. 60, Нове Давидково, 04219",306 93 63,iemetsdanna@example.org
Талан,Валентин,Олександрович,Male,1942-03-26,Доцент,село Миколаїв,"узвіз Литавровий, буд. 502, Шумськ, 76197",+380 56 949-15-42,bohdanna25@example.org
Зінченко,Опанас,Ярославович,Male,1994-07-23,Графік,село Карлівка,"набережна Балтський 1-й, буд. 138 кв. 86, Сновськ, 05673",+380 (06) 781-33-10,derehusillia@example.net
Примаченко,Марко,Іванович,Male,1945-12-11,Кушнір,селище Зіньків,"набережна Адміральський, буд. 98, Великі Мости, 22920",067 222 47 83,viktor27@example.com
Бевз,Гліб,Максимович,Male,1987-01-17,Льотчик,хутір Олександрія,"набережна Мала, буд. 024 кв. 338, Білгород-Дністровський, 65895",842 33 22,orynaholyk@example.net
Зінкевич,Сергій,Петрович,Male,1960-02-19,Астронавт,місто Севастополь,"площа Газовий, буд. 3, Збараж, 27563",039 792-72-04,myron39@example.net
Христич,Демид,Максимович,Male,1957-06-18,М'ясник,селище Здолбунів,"парк Артилерійська, буд. 789, Могилів-Подільський, 04536",+380 (01) 061-15-64,rpavlyk@example.org
Величко,Пантелеймон,Степанович,Male,1950-03-23,Водій,хутір Тисмениця,"площа Моторний 3-й, буд. 4 кв. 564, Кодима, 88172",+380 80 442 15 18,roksolana82@example.com
Чередник,Сергій,Романович,Male,1968-01-13,Зоолог,селище Жданівка,"шосе Верхня, буд. 12 кв. 31, Попасна, 68667",+380 (85) 688-06-27,tetianaaleksiuk@example.org
Їжакевич,Орхип,Васильович,Male,2004-02-15,Літературознавець,місто Камінь-Каширський,"сквер Магістральна, буд. 546, Мерефа, 71754",513 64 84,boleslavbaturynets@example.net
Кабаненко,Юхим,Григорович,Male,1969-04-13,Штукатур,місто Збараж,"провулок Юрія Яновського, буд. 10, Сіверськодонецьк, 13715",+380 (34) 116-96-69,dashkevycholes@example.net
Гаврилів,Адам,Ярославович,Male,1959-03-22,Клавішник,селище Одеса,"вулиця Дзвінка, буд. 673, Пологи, 33976",015 708-35-56,varvara41@example.com
Назаренко,Орхип,Юрійович,Male,2006-03-17,Програміст,хутір Переяслав,"вулиця Золотий берег, буд. 66, Олександрівськ, 74862",060 210 78 43,qzasukha@example.org
Павличенко,Богдан,Богданович,Male,2001-04-01,Вчитель,село Щолкіне,"вулиця Станційна 3-тя, буд. 14 кв. 0, Великі Мости, 08753",891 98 73,svitlanahrytsenko@example.com
Скопенко,Леон,Сергійович,Male,1984-07-23,Живописець,селище Старокостянтинів,"шосе Семафорний, буд. 119, Ходорів, 99099",208 74 63,roman39@example.com
Прокопович,Єфрем,Ярославович,Male,1992-12-23,Пекар,хутір Ірпінь,"узвіз Миколи Бурачека, буд. 55, Остер, 59580",092 871 71 93,avrelii55@example.com
Власюк,Леон,Миколайович,Male,1956-06-17,Бухгалтер,хутір Марганець,"шосе Планетна, буд. 4 кв. 87, Сокаль, 66450",+380 (30) 885-69-60,veniiamyn28@example.net
Джус,Юхим,Юрійович,Male,1949-05-13,Художник,місто Белз,"площа Юннатів 3-й, буд. 822 кв. 343, Олевськ, 05339",039 709-61-22,pchernenko@example.com
Батіг,Святослав,Дмитрович,Male,2008-04-03,Архітектор,село Іллінці,"сквер Вінницька, буд. 06 кв. 490, Бобринець, 11812",844-74-50,borystykha@example.com
